Начало игры, Energy Ship = 100, Score = 0
Убит астероид, Energy Ship = 100, Score = 0
Убит астероид, Energy Ship = 100, Score = 1
Убит астероид, Energy Ship = 100, Score = 2
Убит астероид, Energy Ship = 100, Score = 3
Убит астероид, Energy Ship = 100, Score = 4
Убит астероид, Energy Ship = 100, Score = 5
Получена аптечка, Energy Ship = 100, Score = 6
Убит астероид, Energy Ship = 80, Score = 6
Убит астероид, Energy Ship = 80, Score = 7
Убит астероид, Energy Ship = 80, Score = 8
Убит астероид, Energy Ship = 80, Score = 9
Убит астероид, Energy Ship = 80, Score = 10
Получена аптечка, Energy Ship = 100, Score = 11
Убит астероид, Energy Ship = 100, Score = 11
Убит астероид, Energy Ship = 100, Score = 12
Убит астероид, Energy Ship = 76, Score = 13
Убит астероид, Energy Ship = 46, Score = 14
Убит астероид, Energy Ship = 46, Score = 15
Убит астероид, Energy Ship = 46, Score = 16
Получен бонус, Energy Ship = 46, Score = 17
Получена аптечка, Energy Ship = 76, Score = 20
Убит астероид, Energy Ship = 76, Score = 20
Убит астероид, Energy Ship = 76, Score = 21
Получена аптечка, Energy Ship = 100, Score = 22
Убит астероид, Energy Ship = 100, Score = 22
Убит астероид, Energy Ship = 100, Score = 23
Получен бонус, Energy Ship = 100, Score = 24
Убит астероид, Energy Ship = 100, Score = 27
Убит астероид, Energy Ship = 100, Score = 28
Убит астероид, Energy Ship = 100, Score = 29
Убит астероид, Energy Ship = 100, Score = 30
Убит астероид, Energy Ship = 100, Score = 31
Убит астероид, Energy Ship = 100, Score = 32
Получена аптечка, Energy Ship = 100, Score = 33
Получен бонус, Energy Ship = 100, Score = 33
Убит астероид, Energy Ship = 100, Score = 36
Убит астероид, Energy Ship = 79, Score = 37
Убит астероид, Energy Ship = 55, Score = 38
Убит астероид, Energy Ship = 55, Score = 39
Убит астероид, Energy Ship = 55, Score = 40
Убит астероид, Energy Ship = 55, Score = 41
Убит астероид, Energy Ship = 55, Score = 42
Убит астероид, Energy Ship = 55, Score = 43
Убит астероид, Energy Ship = 55, Score = 44
Убит астероид, Energy Ship = 55, Score = 45
Убит астероид, Energy Ship = 55, Score = 46
Убит астероид, Energy Ship = 33, Score = 47
Убит астероид, Energy Ship = 33, Score = 48
Корабль уничтожен, Energy Ship = 0, Score = 49
Корабль уничтожен, Energy Ship = 0, Score = 49
